Date,SP500,DAX,KOSPI,NIKKEI,HSCEI,GOLD
2023-03-24,3970.989990234375,14957.23046875,2414.9599609375,27385.25,6794.7998046875,183.64999389648438
2023-03-27,3977.530029296875,15127.6796875,2409.219970703125,27476.869140625,6648.68017578125,181.9499969482422
2023-03-28,3971.27001953125,15142.01953125,2434.93994140625,27518.25,6729.759765625,183.44000244140625
2023-03-29,4027.81005859375,15328.7802734375,2443.919921875,27883.779296875,6878.93017578125,182.52999877929688
2023-03-30,4050.830078125,15522.400390625,2453.159912109375,27782.9296875,6922.66015625,184.17999267578125
2023-03-31,4109.31005859375,15628.83984375,2476.860107421875,28041.48046875,6968.85986328125,183.22000122070312
2023-04-03,4124.509765625,15580.919921875,2472.340087890625,28188.150390625,6940.4501953125,184.5399932861328
2023-04-04,4100.60009765625,15603.4697265625,2480.510009765625,28287.419921875,6875.47021484375,187.97999572753906
2023-04-06,4105.02001953125,15597.8896484375,2459.22998046875,27472.630859375,6894.0498046875,186.49000549316406
2023-04-11,4108.93994140625,15655.169921875,2547.860107421875,27923.369140625,6950.3701171875,186.27999877929688
2023-04-12,4091.949951171875,15703.599609375,2550.639892578125,28082.69921875,6866.5,187.19000244140625
2023-04-13,4146.22021484375,15729.4599609375,2561.659912109375,28156.970703125,6875.4501953125,189.72000122070312
2023-04-14,4137.64013671875,15807.5,2571.489990234375,28493.470703125,6914.39990234375,186.36000061035156
2023-04-17,4151.31982421875,15789.5302734375,2575.909912109375,28514.779296875,7056.16015625,185.52999877929688
2023-04-18,4154.8701171875,15882.669921875,2571.090087890625,28658.830078125,7002.91015625,186.25
2023-04-19,4154.52001953125,15895.2001953125,2575.080078125,28606.759765625,6889.009765625,185.36000061035156
2023-04-20,4129.7900390625,15795.9697265625,2563.110107421875,28657.5703125,6895.2900390625,186.08999633789062
2023-04-21,4133.52001953125,15881.66015625,2544.39990234375,28564.369140625,6764.18994140625,184.25
2023-04-24,4137.0400390625,15863.9501953125,2523.5,28593.51953125,6733.14013671875,184.80999755859375
2023-04-25,4071.6298828125,15872.1298828125,2489.02001953125,28620.0703125,6601.35986328125,185.75
2023-04-26,4055.989990234375,15795.73046875,2484.830078125,28416.470703125,6654.39990234375,184.74000549316406
2023-04-27,4135.35009765625,15800.4501953125,2495.81005859375,28457.6796875,6675.39990234375,184.75
2023-04-28,4169.47998046875,15922.3798828125,2501.530029296875,28856.439453125,6702.14990234375,184.8000030517578
2023-05-02,4119.580078125,15726.9404296875,2524.389892578125,29157.94921875,6680.2099609375,187.52000427246094
2023-05-08,4138.1201171875,15952.830078125,2513.2099609375,28949.880859375,6897.68017578125,187.69000244140625
